normalized_name,stack_v2_name,currently_supported
json,JSON,no
json with comments,JSON with Comments,no
json5,JSON5,no
jsoniq,JSONiq,no
jsonld,JSONLD,no
jsonnet,Jsonnet,no
julia,Julia,yes
jupyter notebook,Jupyter Notebook,no
kaitai struct,Kaitai Struct,no
kakounescript,KakouneScript,no
kicad layout,KiCad Layout,no
kicad legacy layout,KiCad Legacy Layout,no
kicad schematic,KiCad Schematic,no
kit,Kit,no
kotlin,Kotlin,yes
krl,KRL,no
kusto,Kusto,no
kvlang,kvlang,no
labview,LabVIEW,no
lark,Lark,no
lasso,Lasso,no
latte,Latte,no
lean,Lean,no
less,Less,yes
lex,Lex,no
lfe,LFE,no
lilypond,LilyPond,no
limbo,Limbo,no
linker script,Linker Script,no
linux kernel module,Linux Kernel Module,no
liquid,Liquid,no
lisp,Common Lisp,yes
literate agda,Literate Agda,no
literate coffeescript,Literate CoffeeScript,no
literate haskell,Literate Haskell,no
livescript,LiveScript,no
llvm,LLVM,no
logos,Logos,no
logtalk,Logtalk,no
lolcode,LOLCODE,no
lookml,LookML,no
loomscript,LoomScript,no
lsl,LSL,no
ltspice symbol,LTspice Symbol,no
lua,Lua,yes
m,M,no
m4,M4,no
m4sugar,M4Sugar,no
macaulay2,Macaulay2,no
makefile,Makefile,no
mako,Mako,no
markdown,Markdown,no
marko,Marko,no
mask,Mask,no
mathematica,Mathematica,yes
matlab,MATLAB,yes
maven pom,Maven POM,no
max,Max,no
maxscript,MAXScript,no
mcfunction,mcfunction,no
mercury,Mercury,no
meson,Meson,no
metal,Metal,no
microsoft developer studio project,Microsoft Developer Studio Project,no
microsoft visual studio solution,Microsoft Visual Studio Solution,no
miniyaml,MiniYAML,no
mirah,Mirah,no
mirc script,mIRC Script,no
mlir,MLIR,no
modelica,Modelica,no
modula-2,Modula-2,no
modula-3,Modula-3,no
module management system,Module Management System,no
monkey,Monkey,no
monkey c,Monkey C,no
moonscript,MoonScript,no
motoko,Motoko,no
motorola 68k assembly,Motorola 68K Assembly,no
move,Move,no
mql4,MQL4,no
mql5,MQL5,no
mtml,MTML,no
muf,MUF,no
mupad,mupad,no
muse,Muse,no
mustache,Mustache,no
nanorc,nanorc,no
nasal,Nasal,no
nasl,NASL,no
ncl,NCL,no
nearley,Nearley,no
nemerle,Nemerle,no
neon,NEON,no
nesc,nesC,no
netlinx,NetLinx,no
netlogo,NetLogo,yes
newlisp,NewLisp,no
nextflow,Nextflow,no
nginx,Nginx,no
nim,Nim,no
ninja,Ninja,no
nit,Nit,no
nix,Nix,yes
nl,NL,no
npm config,NPM Config,no
nsis,NSIS,no
nunjucks,Nunjucks,no
nwscript,NWScript,no
objdump,ObjDump,no
object data instance notation,Object Data Instance Notation,no
objective-c,Objective-C,yes
objective-c++,Objective-C++,no
objective-j,Objective-J,no
objectscript,ObjectScript,no
ocaml,OCaml,yes
odin,Odin,no
ooc,ooc,no
opa,Opa,no
open policy agent,Open Policy Agent,no
opencl,OpenCL,no
openedge abl,OpenEdge ABL,no
openqasm,OpenQASM,no
openrc runscript,OpenRC runscript,no
openscad,OpenSCAD,no
openstep property list,OpenStep Property List,no
opentype feature file,OpenType Feature File,no
org,Org,no
ox,Ox,no
oz,Oz,no
p4,P4,no
pan,Pan,no
papyrus,Papyrus,no
parrot assembly,Parrot Assembly,no
parrot internal representation,Parrot Internal Representation,no
pascal,Pascal,no
pawn,Pawn,no
peg.js,PEG.js,no
pep8,Pep8,no
perl,Perl,yes
php,PHP,yes
pic,Pic,no
pickle,Pickle,no
picolisp,PicoLisp,no
piglatin,PigLatin,no
pike,Pike,no
plantuml,PlantUML,no
plpgsql,PLpgSQL,no
plsql,PLSQL,no
pod,Pod,no
pod 6,Pod 6,no
pogoscript,PogoScript,no
pony,Pony,no
portugol,Portugol,no
postcss,PostCSS,no
postscript,PostScript,no
pov-ray sdl,POV-Ray SDL,no
powerbuilder,PowerBuilder,no
powershell,PowerShell,no
prisma,Prisma,no
processing,Processing,yes
